Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-28,15:35:00,77.42,77.42,77.29,77.36,16942,0
2017-11-28,15:40:00,77.34,77.3416,77.28,77.31,18576,0
2017-11-28,15:45:00,77.33,77.33,77.22,77.27,25816,0
2017-11-28,15:50:00,77.28,77.28,77.2,77.24,26003,0
2017-11-28,15:55:00,77.24,77.25,77.195,77.195,8985,0
2017-11-28,16:00:00,77.19,77.19,77.16,77.16,16065,0
2017-11-28,16:05:00,77.15,77.2,77.15,77.165,7446,0
2017-11-28,16:10:00,77.165,77.2042,77.165,77.2042,4159,0
2017-11-28,16:15:00,77.2,77.23,77.195,77.23,5706,0
2017-11-28,16:20:00,77.22,77.24,77.205,77.21,7887,0
2017-11-28,16:25:00,77.21,77.24,77.2,77.24,21200,0
2017-11-28,16:30:00,77.24,77.27,77.24,77.245,5070,0
2017-11-28,16:35:00,77.26,77.29,77.255,77.28,2200,0
2017-11-28,16:40:00,77.27,77.29,77.265,77.29,11925,0
2017-11-28,16:45:00,77.29,77.31,77.28,77.29,10801,0
2017-11-28,16:50:00,77.31,77.31,77.3,77.3,3286,0
2017-11-28,16:55:00,77.3,77.31,77.28,77.28,3871,0
2017-11-28,17:00:00,77.28,77.28,77.21,77.21,14546,0
2017-11-28,17:05:00,77.215,77.24,77.2147,77.23,6352,0
2017-11-28,17:10:00,77.23,77.2425,77.22,77.24,4047,0
2017-11-28,17:15:00,77.23,77.239,77.22,77.23,5667,0
2017-11-28,17:20:00,77.23,77.24,77.225,77.24,3000,0
2017-11-28,17:25:00,77.25,77.25,77.225,77.25,12511,0
2017-11-28,17:30:00,77.26,77.32,77.26,77.32,6193,0
2017-11-28,17:35:00,77.32,77.34,77.305,77.34,5301,0
2017-11-28,17:40:00,77.34,77.39,77.34,77.39,5878,0
2017-11-28,17:45:00,77.37,77.4,77.37,77.39,3342,0
2017-11-28,17:50:00,77.39,77.395,77.37,77.38,4656,0
2017-11-28,17:55:00,77.375,77.38,77.365,77.38,4000,0
2017-11-28,18:00:00,77.3701,77.38,77.37,77.37,2531,0
2017-11-28,18:05:00,77.37,77.4,77.37,77.4,4857,0
2017-11-28,18:10:00,77.4,77.4,77.39,77.4,4552,0
2017-11-28,18:15:00,77.43,77.45,77.43,77.45,2177,0
2017-11-28,18:20:00,77.45,77.4635,77.44,77.4635,8009,0
2017-11-28,18:25:00,77.46,77.4635,77.435,77.44,5342,0
2017-11-28,18:30:00,77.48,77.54,77.48,77.54,3917,0
2017-11-28,18:35:00,77.535,77.55,77.53,77.53,6001,0
