Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-28,15:35:00,71.32,71.322,71.26,71.26,12084,0
2017-11-28,15:40:00,71.27,71.27,71.24,71.24,5627,0
2017-11-28,15:45:00,71.25,71.26,71.235,71.26,15098,0
2017-11-28,15:50:00,71.269,71.28,71.21,71.22,20804,0
2017-11-28,15:55:00,71.23,71.24,71.22,71.22,5200,0
2017-11-28,16:00:00,71.225,71.23,71.215,71.22,3175,0
2017-11-28,16:05:00,71.215,71.23,71.215,71.22,12030,0
2017-11-28,16:10:00,71.215,71.23,71.215,71.23,4250,0
2017-11-28,16:15:00,71.25,71.26,71.25,71.255,6464,0
2017-11-28,16:20:00,71.26,71.26,71.235,71.24,4152,0
2017-11-28,16:25:00,71.25,71.26,71.245,71.26,10986,0
2017-11-28,16:30:00,71.26,71.28,71.245,71.25,14371,0
2017-11-28,16:35:00,71.25,71.27,71.25,71.27,1200,0
2017-11-28,16:40:00,71.27,71.3,71.27,71.3,13012,0
2017-11-28,16:45:00,71.3,71.32,71.3,71.31,31382,0
2017-11-28,16:50:00,71.32,71.325,71.31,71.31,4959,0
2017-11-28,16:55:00,71.31,71.32,71.3,71.3,1100,0
2017-11-28,17:00:00,71.3,71.31,71.265,71.28,22861,0
2017-11-28,17:05:00,71.28,71.29,71.27,71.288,14411,0
2017-11-28,17:10:00,71.285,71.3,71.285,71.3,5348,0
2017-11-28,17:15:00,71.295,71.3,71.2734,71.2734,2850,0
2017-11-28,17:20:00,71.28,71.28,71.275,71.28,1886,0
2017-11-28,17:25:00,71.275,71.28,71.27,71.28,3200,0
2017-11-28,17:30:00,71.28,71.31,71.275,71.31,3459,0
2017-11-28,17:35:00,71.31,71.34,71.31,71.33,8278,0
2017-11-28,17:40:00,71.335,71.39,71.335,71.388,6407,0
2017-11-28,17:45:00,71.385,71.4,71.38,71.39,14300,0
2017-11-28,17:50:00,71.39,71.39,71.37,71.3868,4178,0
2017-11-28,17:55:00,71.39,71.39,71.38,71.387,3591,0
2017-11-28,18:00:00,71.385,71.4,71.38,71.39,14349,0
2017-11-28,18:05:00,71.4,71.42,71.4,71.41,5051,0
2017-11-28,18:10:00,71.41,71.43,71.41,71.43,8944,0
2017-11-28,18:15:00,71.43,71.465,71.43,71.465,9334,0
2017-11-28,18:20:00,71.47,71.47,71.445,71.47,3842,0
2017-11-28,18:25:00,71.47,71.49,71.47,71.49,17358,0
2017-11-28,18:30:00,71.49,71.5,71.49,71.49,7249,0
2017-11-28,18:35:00,71.485,71.49,71.48,71.48,1500,0
2017-11-28,18:40:00,71.48,71.48,71.465,71.48,11625,0
2017-11-28,18:45:00,71.48,71.48,71.46,71.47,4507,0
2017-11-28,18:50:00,71.47,71.47,71.465,71.47,2650,0
2017-11-28,18:55:00,71.47,71.47,71.46,71.47,3312,0
2017-11-28,19:00:00,71.47,71.52,71.47,71.52,40965,0
2017-11-28,19:05:00,71.52,71.545,71.52,71.54,9453,0
2017-11-28,19:10:00,71.54,71.56,71.535,71.56,17314,0
2017-11-28,19:15:00,71.56,71.56,71.54,71.54,28173,0
2017-11-28,19:20:00,71.54,71.54,71.52,71.52,5309,0
2017-11-28,19:25:00,71.51,71.52,71.46,71.47,12465,0
2017-11-28,19:30:00,71.48,71.49,71.44,71.48,23068,0
2017-11-28,19:35:00,71.487,71.5,71.48,71.4969,2313,0
2017-11-28,19:40:00,71.5,71.5,71.49,71.49,10322,0
2017-11-28,19:45:00,71.48,71.49,71.471,71.48,10703,0
2017-11-28,19:50:00,71.49,71.49,71.45,71.45,1250,0
2017-11-28,19:55:00,71.45,71.45,71.39,71.39,2875,0
2017-11-28,20:00:00,71.39,71.39,71.35,71.36,2780,0
2017-11-28,20:05:00,71.37,71.37,71.31,71.31,9231,0
2017-11-28,20:10:00,71.34,71.39,71.34,71.39,20929,0
2017-11-28,20:15:00,71.4,71.4,71.38,71.39,6500,0
2017-11-28,20:20:00,71.39,71.4,71.38,71.4,7865,0
2017-11-28,20:25:00,71.4,71.42,71.393,71.41,1613,0
2017-11-28,20:30:00,71.42,71.44,71.4101,71.44,17766,0
2017-11-28,20:35:00,71.44,71.47,71.439,71.4535,10683,0
2017-11-28,20:40:00,71.47,71.48,71.47,71.47,20694,0
2017-11-28,20:45:00,71.48,71.52,71.4701,71.52,6285,0
2017-11-28,20:50:00,71.52,71.5301,71.509,71.5101,18726,0
2017-11-28,20:55:00,71.51,71.5501,71.5047,71.5501,11198,0
2017-11-28,21:00:00,71.55,71.56,71.53,71.55,5235,0
2017-11-28,21:05:00,71.55,71.56,71.53,71.56,2426,0
2017-11-28,21:10:00,71.56,71.58,71.55,71.57,4688,0
2017-11-28,21:15:00,71.58,71.61,71.575,71.6,2710,0
2017-11-28,21:20:00,71.6126,71.65,71.61,71.65,5105,0
2017-11-28,21:25:00,71.64,71.66,71.64,71.6408,38940,0
2017-11-28,21:30:00,71.64,71.64,71.6,71.6,4706,0
