Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-27,15:35:00,49.95,49.96,49.93,49.9386,5939,0
2017-11-27,15:40:00,49.915,49.9299,49.9,49.9299,7692,0
2017-11-27,15:45:00,49.92,49.92,49.901,49.92,4158,0
2017-11-27,15:50:00,49.92,49.92,49.91,49.9186,6200,0
2017-11-27,15:55:00,49.91,49.92,49.9,49.92,1703,0
2017-11-27,16:00:00,49.9,49.9,49.9,49.9,800,0
2017-11-27,16:05:00,49.8902,49.8902,49.87,49.87,3280,0
2017-11-27,16:10:00,49.87,49.8725,49.86,49.87,11030,0
2017-11-27,16:15:00,49.87,49.89,49.87,49.87,44663,0
2017-11-27,16:20:00,49.88,49.89,49.88,49.89,6092,0
2017-11-27,16:25:00,49.89,49.89,49.86,49.86,1900,0
2017-11-27,16:30:00,49.865,49.88,49.865,49.8724,2030,0
2017-11-27,16:35:00,49.8768,49.88,49.8768,49.88,318,0
2017-11-27,16:40:00,49.8623,49.8623,49.86,49.86,734,0
2017-11-27,16:45:00,49.87,49.8884,49.86,49.8884,1200,0
2017-11-27,16:50:00,49.88,49.89,49.87,49.87,1566,0
2017-11-27,16:55:00,49.87,49.88,49.86,49.86,11419,0
2017-11-27,17:00:00,49.86,49.876,49.86,49.87,5247,0
2017-11-27,17:05:00,49.87,49.8899,49.864,49.88,3555,0
2017-11-27,17:10:00,49.8701,49.89,49.8701,49.89,604,0
2017-11-27,17:15:00,49.87,49.87,49.84,49.84,5605,0
2017-11-27,17:20:00,49.84,49.85,49.81,49.81,10001,0
2017-11-27,17:25:00,49.81,49.81,49.8,49.8,543,0
2017-11-27,17:30:00,49.8,49.8,49.745,49.745,4500,0
2017-11-27,17:35:00,49.75,49.77,49.75,49.76,3193,0
2017-11-27,17:40:00,49.76,49.77,49.7362,49.74,1934,0
2017-11-27,17:45:00,49.75,49.75,49.73,49.74,2873,0
2017-11-27,17:50:00,49.75,49.76,49.75,49.76,11560,0
2017-11-27,17:55:00,49.76,49.76,49.75,49.75,27636,0
2017-11-27,18:00:00,49.75,49.75,49.7204,49.73,7604,0
2017-11-27,18:05:00,49.735,49.735,49.725,49.7292,7300,0
2017-11-27,18:10:00,49.73,49.735,49.7226,49.735,1322,0
2017-11-27,18:15:00,49.7268,49.745,49.7268,49.74,12600,0
2017-11-27,18:20:00,49.73,49.74,49.725,49.735,4412,0
2017-11-27,18:25:00,49.74,49.755,49.735,49.7547,18835,0
2017-11-27,18:30:00,49.75,49.75,49.74,49.74,34666,0
